(54547, 19391)
(54548, 19390)
(56671, 112)
(56671, 4162)
(56671, 13645)
(56672, 111)
(56672, 4161)
(56673, 110)
(56674, 109)
(56675, 108)
(57067, 4639)
(57068, 4638)
(63865, 20633)
(71240, 4639)
(74680, 2628)
(74680, 12413)
(74681, 2627)
(75115, 13435)
(75329, 1215)
(75329, 20740)
(75330, 1214)
(75331, 1213)
(75332, 1212)
(75838, 14601)
(78311, 14310)
(78312, 14309)
(78313, 4068)
(78313, 14308)
(80381, 2085)
(80381, 7933)
(80381, 19391)
(80687, 5068)
(80688, 5067)
(80688, 11969)
(80689, 11968)
(81322, 5880)
(81323, 5879)
(88599, 8526)
(89890, 13222)
(89891, 13221)
(90938, 4721)
(90939, 4720)
(90940, 4719)
(90941, 4718)
(98686, 1216)
(98687, 1215)
(98687, 20740)
(99829, 5880)
(101051, 7802)
(101051, 18953)
(101052, 18952)
(101053, 18951)
(107398, 4719)
(114991, 19522)
(115849, 8526)
(116296, 19522)
(116297, 19521)
(116298, 19520)
(116877, 7403)
(116877, 9563)
(124003, 905)
(131797, 7803)
(131798, 7802)
(131798, 18953)
(135931, 112)
(135931, 4162)
(135931, 13645)
(135932, 111)
(135932, 4161)
(136235, 4595)
(140228, 20634)
(140229, 20633)
(142191, 20633)
(147273, 19842)
(149756, 11757)
(149757, 11756)
(149757, 15618)
(149758, 11755)
(155290, 7404)
(155291, 7403)
(155291, 9563)
(164961, 13561)
(166753, 13435)
(166754, 13434)
(174162, 6412)
(174163, 1555)
(174163, 6411)
(174163, 10094)
(174164, 6410)
(174424, 5069)
(174425, 5068)
(174426, 5067)
(174426, 11969)
(180207, 19522)
(180208, 19521)
(180209, 19520)
(181043, 19842)
(181188, 13222)
(181189, 13221)
(181928, 2085)
(181928, 7933)
(181928, 19391)
(184676, 2893)
(184676, 18681)
(186509, 997)
(186509, 3712)
(188093, 11613)
(188093, 16553)
(188094, 11612)
(190162, 112)
(190162, 4162)
(190162, 13645)
(190163, 111)
(190163, 4161)
(190164, 4160)
(190165, 4159)
(194438, 11757)
(194439, 11756)
(194439, 15618)
(195761, 1555)
(195761, 6411)
(195761, 10094)
(195762, 1554)
(195762, 10093)
(195977, 14309)
(195978, 4068)
(195978, 14308)
(195979, 4067)
(195979, 14307)
(195980, 4066)
(197661, 14601)
(197662, 14600)
(198892, 998)
(198893, 997)
(198893, 3712)
(199991, 7803)
(199992, 7802)
(199992, 18953)
(199993, 7801)
